"thrush","cover","elevation","loc.x","loc.y"
0,23.3,328,-210406.84424,310734.37305
0,18,294,-204950.90628,319835.94889
0,14.9,283,-199762.96866,319690.8682
0,14.7,312,-205081.76992,315211.02347
0,20.9,297,-199890.37379,315066.23035
0,14.9,337,-205212.34929,310586.07299
0,16.3,315,-200017.7753,310441.57195
0,13.4,334,-194574.92911,319549.50634
0,17.9,354,-189386.78751,319411.84777
0,16.5,349,-194699.02504,314924.7772
0,17.6,370,-189507.67375,314787.32046
0,15.1,349,-194823.11684,310300.03434
0,6.1,360,-189628.29603,310162.62244
0,11.1,398,-184198.56521,319278.50078
0,14.6,378,-184315.94011,314653.90026
0,24.8,363,-184433.53359,310028.98959
0,21.4,333,-210541.05267,306104.69103
1,23.6,323,-210675.08864,301480.27543
0,23.5,311,-210809.13748,296855.80993
0,19.4,343,-205343.18871,305956.19081
0,11.5,345,-200145.34603,305811.50173
0,21.2,329,-205473.97584,301331.61779
1,7,362,-200272.79929,301186.75004
0,35.7,310,-205604.72303,296707.06994
0,6.1,323,-200400.24321,296562.12672
0,30.6,349,-194947.38375,305669.88432
0,7,401,-189749.26803,305532.11797
0,26.9,357,-195071.52785,301045.05685
0,6,409,-189870.23989,300907.28645
0,24.4,343,-195195.67717,296420.35309
0,15.3,371,-189990.99886,296282.69853
0,31.2,367,-184551.26738,305398.32329
0,15,376,-184668.65324,300773.47627
0,25.6,389,-184786.26617,296148.82236
0,17.8,310,-210943.33859,292226.04886
0,28.6,316,-211077.47883,287601.86261
0,19.4,328,-211211.38995,282977.84454
0,19.1,330,-205735.61871,292077.22538
0,14.6,319,-200527.83456,291932.2002
0,29.8,352,-205866.25088,287452.95095
0,12.6,355,-200655.27752,287307.57084
0,24.7,337,-205997.08634,282828.79904
0,14.7,390,-200782.6963,282682.99969
0,31.7,356,-195319.9672,291790.35257
0,8.4,343,-190111.98171,291652.62373
0,17,352,-195444.10679,287165.65005
0,5.5,367,-190232.75785,287027.64503
0,17.4,339,-195568.27065,282540.99695
0,5.6,402,-190353.66327,282402.71865
0,17.4,374,-184903.94004,291518.67065
1,8.7,342,-185021.56731,286893.61799
0,20.6,395,-185139.07687,282268.67144
0,13.9,350,-178667.58098,333028.94657
0,29.6,397,-178781.76381,328404.06847
0,32.5,394,-178895.94898,323779.14383
0,18.8,415,-173489.10443,332902.70378
0,23,409,-168310.47571,332780.38253
1,18.5,433,-173599.99767,328277.76284
0,18.7,434,-168418.14631,328155.16694
0,24.3,424,-173710.89241,323652.78425
0,6.8,421,-168525.81065,323530.33001
0,34.9,397,-163132.04928,332662.07146
0,15.5,437,-157953.39076,332547.35621
0,26.9,382,-163236.26444,328036.78085
0,16.4,412,-158054.3687,327922.19588
0,26.2,371,-163340.47232,323411.86239
0,12.1,398,-158155.33919,323296.99886
0,9.6,412,-152774.73354,332436.16838
0,21.8,455,-147595.99758,332328.68645
0,35.8,440,-152872.39244,327810.92337
1,16.2,459,-147690.38517,327703.44598
0,25.3,421,-152970.05908,323185.65196
0,27.6,429,-147784.66238,323078.10514
0,24.5,421,-179010.27366,319148.91584
0,20.7,419,-179124.46563,314523.96938
0,35,417,-179238.66758,309898.71
0,26.6,383,-173821.90932,319022.48531
0,17.1,403,-168633.44825,318900.17285
0,28.3,365,-173932.80293,314397.47154
0,21.9,366,-168741.03908,314275.09357
0,13.3,387,-174043.70182,309772.14882
0,3.4,432,-168848.6118,309649.61069
0,5.2,398,-163444.94918,318781.63904
0,20.9,479,-158256.43174,318666.49875
0,4.8,383,-163549.23796,314156.49839
0,19.4,471,-158357.40131,314041.27984
1,5.7,379,-163653.539,309530.8435
0,23.8,419,-158458.39515,309415.54279
0,4.7,474,-153067.82941,318555.06803
0,21.3,480,-147879.18625,318447.44689
1,12.5,455,-153165.49222,313929.76702
0,9.8,463,-147973.50098,313822.16597
1,21.2,451,-153263.16639,309303.9518
0,19.1,446,-148067.8218,309196.18757
0,14,374,-179353.0166,305268.17739
0,22.5,385,-179467.24568,300643.25105
0,25.2,384,-179581.48154,296018.31674
0,9.7,410,-174154.75014,305141.54831
0,23.8,437,-168956.35837,305018.74159
0,12.2,391,-174265.68089,300516.55174
0,19.4,417,-169064.02015,300393.57217
0,12.3,440,-174376.60885,295891.54582
0,23.5,422,-169171.64712,295768.50135
1,16.3,431,-163758.01553,304899.80685
1,16.7,410,-158559.50578,304784.5237
